repo_full_name,sha,committed_at
ollama/ollama,bddfa2100f9b708c76c99167a180a05da5140e95,2025-11-05T20:23:20Z
ollama/ollama,1ca608bcd155c771d0fed683a75d8367fe9c7144,2025-11-05T19:58:03Z
ollama/ollama,6aa72830763cf694da998f5305de89701c75cea0,2025-11-05T19:55:17Z
ollama/ollama,f89fc1cadd6fe896e162ce8c85534c92f711005a,2025-11-05T19:55:04Z
ollama/ollama,97e05d2a6be5eb4121189ac81c0a8eed9bf54e23,2025-11-05T18:32:38Z
ollama/ollama,8bbc7395dbe6993a058e28ccf35e14089ff55e0d,2025-11-05T17:56:14Z
ollama/ollama,408c2f99d0522a0a74f522a913b987b3ceb31b75,2025-11-05T16:12:15Z
ollama/ollama,809b9c68fae9ec326df58c35be90722671fef482,2025-11-05T00:43:33Z
ollama/ollama,ba8c035846c1548d384e3129aa72a2338f031991,2025-11-05T00:23:37Z
ollama/ollama,27f1fde413c2a1386e0bc68b623bbb72e9f6bc0c,2025-11-04T23:33:46Z
ollama/ollama,220e133fca8fe128dbf8fecef96c8484f991e39c,2025-11-04T22:11:55Z
ollama/ollama,d3b4b9970a5e2759fcfc6a632968ecc771ac6e77,2025-11-04T19:40:17Z
ollama/ollama,a4770107a6ea6b4f5adc235d37d08417dc3b9184,2025-11-04T18:31:22Z
ollama/ollama,ef549d513ce37729b0b29984eb738856da7d6b89,2025-10-30T21:30:31Z
ollama/ollama,d2158ca6f4ef64968e639b4474e156ff7c92883a,2025-11-03T20:55:04Z
ollama/ollama,ce3eb0a3156ea2ed5069fd19897b6f104c387e69,2025-11-03T19:27:15Z
ollama/ollama,60829f7ec6ba12f8b06aa917bdba26c82f054e1f,2025-11-03T00:01:28Z
ollama/ollama,9a50fd584ccac3e7035d8a8112980167e37a60de,2025-11-02T23:44:56Z
ollama/ollama,392a270261dfb1d1cee1de3713836b503a7526ce,2025-10-31T21:16:20Z
ollama/ollama,3bee3af6ed6acaeece2f4ffe9a5093c23d26f989,2025-10-31T21:37:29Z
ollama/ollama,83537993d7ceb504ae552a8045867870d342aa27,2025-10-31T16:54:25Z
ollama/ollama,7dd4862a8997ce6f01018a76ad41bd4d8dbe217b,2025-10-31T00:12:33Z
ollama/ollama,db973c8fc2579e97fa4b8adea5cb88835138b3ee,2025-10-30T22:12:14Z
ollama/ollama,afaf7ce8c34bab8de45ca00dbd12da8cd3cc033a,2025-10-27T23:32:05Z
